@relation sentimentos

@attribute text string
@attribute feeling {Negativo,Neutro,Positivo}

@data
'@araujocaaa1 Eu sou contra, ele tem uma imagem de homem forte e ainda está visivelmente abatido, sem contar a recomendação médica que certamente é contrária à isso. A minha pressão sobe vendo o debate e as fake news, imagina a dele :)',Positivo
'@mariajgmartins Comigo :)',Positivo
'@luiizfc orgulho o nome disso mano... tamo ai pra bota a cara e erra né :D',Positivo
'@mchoseokao Sou de Sumaré - SP Sumaré é perto de SP :)',Positivo
'@wolwfs Liberamos para você, Gaby! :D',Positivo
'@andrizek Essa é a típica proposta de quem nunca teve o cano de um fuzil apontado para a sua cabeça (ou de um ente querido). Meu amigo....coloque uma coisa nessa sua cabeça graduada: NÃO EXISTE Reabilitação de vagabundo!!! Não quer ir preso...simples... Não cometa CRIME! Ora... :P',Positivo
'Por isso que todo mundo trabalha na ilegalidade... Pra ilegal você não precisa pagar férias e 13º. :D',Positivo
'@goncalosousa00 és giro e pareces ser boa onda :)',Positivo
'@marci_in18 Continua alcoólatra então! :)',Positivo
'@GarotaOtakuu Eu sou praticamente isso Eu so sou retardada Por que eu faço idiotice pra fazer os outros rirem Amo isso humor e uma forma de fazer pessoas sorrirem :D',Positivo
'És muito gira gostava mesmo de te conhecer — Obg :)) https://t.co/6APw0aPaGR',Positivo
'@Fabio_Landonas @goodguycookie2 Biblioteca já está muito batido, mas não é mal pensado normalmente os casalinhos estão lá sempre, por isso os deprimidos devem lembrar-se e ainda sentem mais vontade para se atirarem dama gênios. Pulseiras para o evento comigo :)',Positivo
'Alguém me arranja R$21,50 ?:D',Positivo
'@xytaevyung Se precisar, só chamar :)',Positivo
'Ah amigos, como se a mafrense já não fosse péssima o suficiente, amanhã vai fazer greve e não há autocarros :)',Positivo
'hoje estava com um outfit mesmo giro :))',Positivo
'obrigado :) — pelo que? https://t.co/Qpnb05C8na',Positivo
'eu acho mm sinceramente q nnc vou ser o suficiente p alguém p causa da minha forma d ser e de nnc conseguir demonstrar as cenas como eu quero :)',Positivo
'Acabei de descobrir que não consigo estar com as pessoas sem mexer no telemóvel porque sempre que falo ao telemóvel mais do que 3min estou de fones e a fazer outras coisas no telemóvel. Odeio ser assim :)',Positivo
'@sketchit_ @MinhaSerie Na verdade não é clickbait, é um blinditem, um tipo de notícia que os canais americanos vazam sem dar o nome da série pra só depois dar a resposta :)',Positivo
'@everaldomarques @Vikings @RamsNFL @pauloantunes Tá tudo atualizado :( Mas valeu, vou tentar outros métodos :)',Positivo
'@andriolli Eu acho que a gente deveria fazer junto com o Prêmio Argos, pra juntar os dois eventos. Só acho. :)',Positivo
'com sono e com calor :)',Positivo
'Assim já não posso namorar contigo — Fica para a próxima :) https://t.co/TXsgdwDBBU',Positivo
'@Uva_Rabiscos Bem... foi assim q Deus queria t fazer, uma menina bonita, i e normal mulher menstrua todo o mês, só o problema eq ninguém se acostuma, intao, meh :P',Positivo
'Beijei, ficamos mais de 1 ano, depois ela quis namorar, lógico que não aceitei, ela me odeia até hoje :D',Positivo
'@BElaerts @Joana_Prata55 Ela tb vai ter casa livre e temos grandes planos por isso :)',Positivo
'otimo me fudi e n vou na terapia hj q eu tanto qria e precisava por conta dessa merda dessa chuva :) caralho q odio',Positivo
'@jovemhan É preciso sumir de vez em quando, amigo, apenas não nos abandone! :D',Positivo
'Dubai po :) #ABSCBNBallFanFave Kisses Delavin #PushAwardsTeamKisses @delavinkisses https://t.co/VWoGsTTJyf',Positivo
'Me contem algo q bom q rolou na semanas de vcs, quero ouvir coisas boas :)',Positivo
'@hiwhell sry foi mal entendido entao :P mb',Positivo
'#parabéns minha #linda ;) susanapronto ;) #love #uber :) em Lisbon, Portugal https://t.co/m06UIarKMx',Positivo
'@Cecillia @TorresmoV_ @datamareira sim, eu tava concordando com você, Cecília :)',Positivo
'@euthayzinha @alopacheco Eiii! To combinando com o Lucas da gente sair o FDS que eu estiver em GYN. Daqui 3 semanas!! :)',Positivo
'Senti-me orgulhosa dos golos q marquei :))))',Positivo
'Querem ver que o Capela vai adiar o Chaves x Benfica por causa da chuva? :)',Positivo
'PISCA MAIS ENERGIA TA POUCO AINDA PRA QUEIMAR TUDO AQUI :)',Positivo
'Eu Nnc tive, não tenho, nem vou ter nada com o André. Prtt parem com essas ideias malucas, obrigada :)',Positivo
'@mariccota me lembra muito uma pessoa :)',Positivo
'@elesse1980 @saritacoelho @cesardelrei @folha Entao, eu debato. Se sai do debate pra ir pro enfrentamento pessoal, eu ja me retiro. 28 anos de militância já, cansei de discutir pra nada. Perda de tempo total, e o tempo é curto e eu preciso ir pra rua angariar voto. :)',Positivo
'Mais um pepino no trabalho, mas em equipe resolvemos tudo. :D',Positivo
'@rubenribeiro111 _mariana.silva04_ :)',Positivo
'Hoje também ía ao treino :))',Positivo
'Já subscreveu o meu canal do Youtube? Obrigada! :) https://t.co/3ZNfVAzvP3',Positivo
':) tive um treçolho, n fui as aulas e aproveitaram s p mos meter na cabeça :) https://t.co/mUXvrtP8SU',Positivo
'@eduardo_d_silva @MemesHltv Exatamente, a única merda que entregou foi o  Haci curtiu isso  :D',Positivo
'Obrigado @nunumiguele pela tua reflexão. Gostei muito deste teu texto. Há muita desconstrução e construção a ser feita. Deixemos de censurar os afetos :) https://t.co/U6DTu5Qy27',Positivo
'Estamos todos de Parabéns!!! Profissionais &amp; Turistas!!! :) #DiaMundialdoTurismo #ProfissionaisTurismo #Turistas #Turismo #Odivelas #Lisboa #Portugal #VisitPortugal #ViagemàVista #ViagemàVistaPeloMundo 😎✈🛩🚁🚊🚇🚘🚍🚖🚢⚓🗺🗿🗽⛲🗼🏰🏯🏟🎡🎢🎠🏖🏔🏪🏫🏛⛪🕌🕍🕋⛩🌁🍾🥂🎂❤ https://t.co/AUcjrH7qBh',Positivo
'@Gabriel53004975 Boa, @Gabriel53004975 !! Publicamos lá! Esperamos que você volte logo! :D &lt;3',Positivo
'@camilapezente Sim De fome :)',Positivo
'@danielcostafra1 @Tomazine420 @tavareiz Ainda bem que não estamos falando dele :)',Positivo
'Olá, acho que seja uma crítica construtiva então irei fazê-la. Então eu acho que a fala deles tá tão formal, você poderia coloc... — Obrigada, anjo. Eu vou tentar melhorar nesse quesito :) https://t.co/Yx1wl7L2dX',Positivo
'FIQUE LIGADO, ÚLTIMO DE PARA SE INSCREVER o.O , Circuito Campestre (Caminhada Noturna) :):), CLIQUE AQUI e faça sua INSCRIÇÃO online. Aproveite. Apoio Ecobooking / Anda Brasil / IVV Americas https://t.co/rAZj7kkCwm',Positivo
'Em Floripa! Divulguem a possíveis interessadas/os. :) https://t.co/7H53rMmvNQ',Positivo
'alias vendi a bike esse fds, vendi a prancha de surf e um tenis já tudo certo e ainda tem bastante coisa pra vender :)',Positivo
'@afadacanhota Abalar eu me abalo hahahah tô chorando de raiva. Mas eu tenho certeza/esperança q eu vou provar q eles tão errados. :)',Positivo
'ei gente criei um instagram de fotografia :) se quiserem dar uma olhada é esse aqui: https://t.co/k3iJE2yOcz',Positivo
'2 pessoas da minha turma bloquearam-me !! #RumoAos30 :))',Positivo
'@CuboFortnite Nunca moriras &gt;:D',Positivo
'Haha muito bom!! :) https://t.co/q0SMKrlugS',Positivo
'Eu aprendi com ele o valor da persistência e que errar é normal, sempre haverá outras oportunidades Se não desistirmos, as bençãos virão para nós :)💕 Apesar de ter negligenciado um pouco isso k mas eu te amo não desista de mim🤧❤️ #5DaysForBangChanDay https://t.co/BfyAMSgQ4M',Positivo
'srry pelo spam d musicas :)',Positivo
'@kevincbneves aqui :) https://t.co/ZOY9R5ZBT6',Positivo
'@rmpalhares @erica__andrade @ccerva77 Ele não chamou ninguém luuuul Nós que viemos avacalhar :D E porque se tens uma opinião que ninguém pediu não a mandes cá para fora..ainda para mais nem o conheces',Positivo
'@1eduardoandrade @Estadao Cala boca, fascista. Assista seu coroné derretendo que nem picolé :))',Positivo
'@Daniniie Não sabe os detalhes que podem faltar no puzzle :)))',Positivo
'Tão otimo ter atenção da pessoa :)',Positivo
'@SrWilsonCCA Saquei :)',Positivo
'@waaaifuu  Todo ato comunicativo só se torna falho quando a mensagem se torna incompreensível ao receptor  :P',Positivo
'@lxsiyeon Eu ja to matando :)',Positivo
'@Yana_Myamoto O seu tbm é, um nm bonito e diferente :) Digo o msm',Positivo
'@deprebarca Eu achei bonito :P só estranhei de primeira',Positivo
'acompanhado com o texto agora perdoa o vacilo :) https://t.co/KcX8RE7VWF',Positivo
'@geilzadasilva Uhul! A gente adora esse amor todo :) https://t.co/9bWgrQpE2e',Positivo
'@ReginaFiuza @AlexClaudenilso @Estadao @EstadaoPolitica o sistema de 13º, cotas, bolsa família, tem falhas sim, o que eles precisam é ser MELHORADOS :)',Positivo
'@ravnuslock MONSTRO! @Ecopointbrazil_ MONSTRO! Ainda quero colar com vocês num Ecopoint que for rolar! :D https://t.co/B56Td3BE0M',Positivo
'@CherieBlesse e eu seria um vice decorativo, durante os 8 anos, sem problemas! :)',Positivo
'@dredfazatua já te disse que sim :)',Positivo
'Se interessar, falem cmg, a gnt monta um grupo no site ali do lado e organiza as coisas tudo. Acho q pode ser mt produtivo ter um lugar disponivel pra só esse intuito e com uma boa glr pra trocar experiencia :)',Positivo
'Sou a favor da liberação da maconha se querem saber tbm (E eu não curto maconha) :D',Positivo
'@Iovsemi @cirogomes E na galinha dos ovos de ouro, vc também acredita? :-)',Positivo
'descobri que dos 15 megas q eu pago só chegam 2 no wifi :))))',Positivo
'@JuliaBaptista4 Espera até apanhares uma de excesso de velocidade :)',Positivo
'Vires falar comigo é que tá quieto :)',Positivo
'Contínuo à espera de uma mensagem :))',Positivo
'@janapbianchi É de manhã? Eu não sei se consigo, mas eu tenho o horário de almoço mais de boa se quiser companhia! :D',Positivo
'Tem piada, a minha mãe tira-me toda a motivação para me esforçar na escola :)',Positivo
'É suposto responder o quê a um  ahahah  digam me por favor :)',Positivo
'@_diosant Eu fiz foi deixar na mão do @, pois sem condições. Tava ficando louca. Agora tô de boa. :)',Positivo
'Olin faz companhia :D https://t.co/cybhzR0U42',Positivo
'@sexylenagodmz seguindo :)',Positivo
'Se alguém com câmera, com jeito e com paciência para tirar fotos me quiser tirar eu aceito :)',Positivo
'@marinacrachi eu queria pra baixar mesmo, pra eu botar no pen drive e ver na tv ahuehaue mas já achei um lugar, obrigada :)',Positivo
'@miguelmacmax Tu todos os dias da tua vida e depois roubas a dos outros :))',Positivo
'@alicebiruta @pablocasado É o rabo abanando o cachorro :P',Positivo
'Alô @vivobr vem de DM pq creio que vcs me fizeram um aumento irregular no preço do meu plano... @proconpr da uma olhadinha nisso aqui TB :)',Positivo
'@rmpalhares Ahahah oh caralho tu por acaso sabes que nao me mandas calar assim de uma maneira  muito  autoritária só porque pensas que por andares aí a levar no cu faz te sentir aí o travesti da tua aldeia, por isso vê lá se metes os ovários no sítio e chapa te no caralho :)',Positivo
'@AgentURSAL ahahaahah seriao!!! poxa vida, isso eh muito bom de ler, tb acho lindos :))) 💛',Positivo
'ai girliessssss ta foda ein kkkkkkkkkkk so consigo pensar o quao mediocre eu sou :P e o quando meu amigos sao melhores q eu q saco',Positivo
'Conta uma história que você lembre com carinho. — Quando comi uma mosca porque achava que era chocapic :) https://t.co/dVcaZWvlLU',Positivo
'@MadalenaPaiva29 nepia mas isso é porque és irritante :)',Positivo
'@lgbteguk td bem, qualquer coisa chama na dm :)',Positivo
'eu tentei e deu certo meninas! :D https://t.co/gxtWrr5IAJ',Positivo
'@rasielsp Pois é, tô pensando nisso tbm. O que tava em mente é eles terem  sumido  da terra e ido pro espaço junto com a Lilandra e voltarem no fim de vingadores 4 :P',Positivo
'@mmatildee5402 Não mas irritar te é melhor ainda :)',Positivo
'@kaduvrp É sim, bello. A partir das 14h na Tapera taperá :)',Positivo
'@Manhereno Vai sim man! Relaxa, vai na fé que da :)',Positivo
'@caodomoletom “Você sabe que o homem quando entra numa loja ele vai lá e compra, acabou, a mulher leva um tempo para comprar, né? É a mesma lógica, a lógica é igual” :D',Positivo
'@MarioMo78515715 @lobaoeletrico Estranho, de onde saiu essa capa da @VEJA . Pelo que sei, a veja é da Abril que é Globo. Que é contra Bolsonaro. Deve ser fake :)',Positivo
'@APKT_3DIT Será que ainda vou ser Mod desse sv? :)',Positivo
'@depreeverton Parabéns meu freguês! Felicidades e que você continue perdendo para nós. :)',Positivo
'@marialves53 Obrigado Maria. Também para ti :))',Positivo
'Nós com os nossos modelitos :)',Positivo
'Estou oficialmente assustado :)',Positivo
'foo :-) : 9d6215de-a10d-458e-a188-3c034ca81831',Positivo
'HOMENS QUE FAZEM O MÍNIMO OU MENOS DO QUE ISSO :)',Positivo
'tou bué na merda :) https://t.co/Bq3KB8xqaW',Positivo
'@laramangueira Mas acho que carnivoro não ligava nto pra quem ia comer não, aproveita pra dizer que os herbívoros comiam vegetais pra crescer mais e ficarem fortes p ele comer verdura :)',Positivo
'@caique_des nem poderia :p',Positivo
':)) ~via instagram https://t.co/2EpT3DyF72',Positivo
'Como é que é suposto ir treinar amanhã assim? :)',Positivo
'@hgrcrd @LAVlNlA quase certeza que não :) coloca no site do TSE que la da pra ver! se vc não tiver o número, primeiro consulta pra ver a zona que vc vota, que ai não precisa do número (só CPF, nome completo e nome da mãe). Ai aparece nº do título. Depois pega a certidão de quitação eleitoral :)',Positivo
'@sereiobloom eu tenho varias ideias de tatuagem que quero fazer... me passa sim querido quero dar uma olhada :)',Positivo
'@ohonestovictor @LadoBdoRio hahahah porra, o Funk do Chaves eu ouço todo dia, várias vezes! É viciante. Precisava viciar mais gente!!! rs E obrigado pela audiência, Vitu! :)',Positivo
'PESSOAL, NOS AJUDEM! :) Começou a campanha @abraceobraz Abrace o Coletivo Papo Reto https://t.co/D47ib6X7N7',Positivo
'@maymortari Vai, pelo menos pra gente se falar oi hahaha tomamos um café antes, qualquer coisa! :)',Positivo
'Já estou quase level 70 no forza horizon 4 , não perca as lives na streamcraft https://t.co/cPOHlPtdJa ou a série no canal tlesgames ok :)',Positivo
'lembrete diário que rafael ilha não fez nada de errado e acabou com a prado :)',Positivo
'@suredica1 @natydebanfield @lasoleush Ojalá estê en toooodos lados!!! :)',Positivo
'Bom dia pra você que conseguiu derrubar o próprio site. :P',Positivo
'eu só estou a ser querida :)) @maria_sgarrido https://t.co/VE6bWFrs6w',Positivo
'esse sou eu morando em Londrina :) queria ir pra SP tbm https://t.co/SGkw8MSJHc',Positivo
'Estou a morrer com esta trovoada. :)))',Positivo
'ganhei coragem e cortei o cabelo :) https://t.co/WkOCDn4fA8',Positivo
'sob a insistência de um total de 1 pessoas eu vou voltar com a au pq mesmo q seja 1 pessoa agr eu tô feliz kk :)',Positivo
'@Corviclawn TDCM é minha matéria favorita :)',Positivo
'@prettyvisitoors Tens de ouvir a This Is Imagine Dragons at least 1 vez por semana,assim n te esqueces :-)',Positivo
'@vidademigalhas @JoannaAzevedo @Google Conheço vários casos iguais :))',Positivo
'@_purita_ @a_john Não sejas má :D',Positivo
'Dólar caiu :) - R$3,99 às 15:40',Positivo
'@17_barbieri Pra cima :)))',Positivo
'@yuktuan byun baekhyun, e é até hoje :)',Positivo
'@kyobr @Criaty Você aceitou fazer live de fifa, vc está claramente com a saúde mental avariada! :p HAHAHAHA',Positivo
'@badaswitch @kzlol1 Homens de bom gosto :)',Positivo
'@BlizzSpirit pas de soucis :)',Positivo
'Vice de Bolsonaro QUER o fim do 13º décimo terceiro salário. Os dois não estão falando a mesna lingua :D',Positivo
'A quantidade de bikes que tenho na oficina... nada! é só mais um dia normal nos comboios de Lisboa :) https://t.co/uozsTA8tfG',Positivo
'@yummydieta se fizer me manda o user por favorrr, sei que não converso contigo mas adoro te ver na tl e to torcendo mto por vc :))',Positivo
'@Best_Enderman @JooVict59331192 @_MinecraftNews1 @mcbe_brasil @jeb_ @_LadyAgnes Kkkkkk amo animais :D',Positivo
'@josemcalmeida @ana_s1906 @maldsuado Divinal! Corta as amarras da tua vida... solta-te! :)',Positivo
'@barcinoball De nada :)',Positivo
'@aanabbranquinho Tb tenho mts saudadesssss, nas festas das listas já tamos juntas eheh :) ❤️',Positivo
'@beamventura @14raqueldias1 eu também pensei nissoooo :))',Positivo
'@NazaEscobarArt Agregada! :D',Positivo
'indo pro dentista de chinelo nessa chuva porque quando sai de casa não estava chovendo :)',Positivo
'@ritaaaaaaaaaaa_ https://t.co/4czENKrcg9 Se não conheces já desceste na minha consideração :))))',Positivo
'@inclechoice ohh vou procurar obgg :)',Positivo
'@joaoprp @sol1up Cada um tem a sua realidade :) eu só posso falar do que eu sei. Mas que bom que onde sua familia morava o pessoal tinha direito a rádio :)',Positivo
'📣📣📣ATENÇÃO!!! SEGUNDA PARTE DE NOSSA TEORIA DA ALBÂNIA DISPONÍVEL EM ALGUNS MINUTOS. FIQUEM DE OLHO. Grato :)',Positivo
'Vice de Bolsonaro defende o fim do 13º décimo terceiro salário. Os dois não estão falando a mesna lingua :D',Positivo
'@dioguinho_2710 Pena estares aqui e não responderes as sms :)',Positivo
'@brujabandolera certissima! Bom trabalho :)',Positivo
'@marinildac Aqui, amiga :)',Positivo
'@warhugs @musoverao dos me fala desse médico em, melhoras viu meu amorzão??? estou aqui pra ti, te amo muuuitoooo e tô realmente me segurando pra não ir ae na sua casa te dar uns catiripapo kaidshuwsja beijos amiga te amo imensamente e sempre me preocupo contigo criatura estou aqui qualquer coisa :)',Positivo
'@duze_rick Jamal, você pode tentar o aumento do limite no aplicativo Santander Way :)',Positivo
'@tiagosks É (uma das) minha área, se precisares de ajuda let me know. Boa sorte! :)',Positivo
'@camilo_goncalo Nepia :) ( vê já comentei a tua foto)',Positivo
'e porque ele se afastou? — Mas pra que tanto interesse JEJSJEJAMSN me chama na dm q eu conto :) https://t.co/NcSEvwZKNw',Positivo
'@pertodemais @gaybol Saudades da época de MCR :)',Positivo
'Em quem vocês vão votar? E porque? Sem tretas! Quero saber os motivos reais mesmo... :)',Positivo
'@TheLucasMello Oi! Encaminhe o seu currículo para o e-mail recrutamento@getnet.com.br e boa sorte :)',Positivo
'Chimarrão, um violão, minha esposa greiciantes e a Molly pra avaliar se ficou bom... ou não! :) https://t.co/lNzq86r2Xc',Positivo
'Conta uma história que você lembre com carinho. — Não tenho :)) https://t.co/JxtAZSk6w2',Positivo
'@hey_mika Sugestão: gasta um pouco de energia em atividade física. 20 minutinhos que seja. A cabeça dá uma aliviada e o cansaço substitui a putice. Sou uma monstrinha sedentária de sofá e aqui super funciona :)',Positivo
'Ideias para Sketchs ? último que fiz foi TIPO DE CONDUTORES e voces adoraram ! Digam ai ideias :D',Positivo
'@notorious_gui @ggGuiki Aliás Vi agora q o don tinha comentado Não vi antes :)',Positivo
'@LegendsOfDms ah, tá bom :)',Positivo
'@S2karenmeloS2 Olá, Karen. Vem na DM que eu tento te ajudar por aqui! :) https://t.co/5yUsfK64x1',Positivo
'@gxromel entreguei sim :) -Cubo',Positivo
'Êta time entrosado, esse! #SQN :D https://t.co/mYUR2KtGfW',Positivo
'@sperdoegui Zs é demais! Tava por ai tb :P',Positivo
'@helaMask será :)',Positivo
'algum material (livro/curso) de tarot que recomenda? se arrumar um tempo e resolver ministrar um cursinho, melhor ainda :D — Pode ser providenciado. Preciso conversar com o Grola e o Ulysses para montarmos um curso assim. https://t.co/Udehs6oZjq',Positivo
'@JEBR_Gaming No problem! :D',Positivo
'Já houve alguns mal entendidos mas acho que agr estamos bem,curto de estar com ela :)) https://t.co/E3XfW3Ughj',Positivo
'@Red_angel_aleks Bravo :-) :*',Positivo
'se há palavra bonita é “desculpa”, comecem a usar :)))',Positivo
'Acabei de partir a última unha :)',Positivo
'@thiagozs o dono da napoli ainda vai virar millionario com a gente :)',Positivo
'vamos fazer 69 tipo tekashi :))',Positivo
'@joaoprp @sol1up eu também sou meu anjo eu to falando do nordeste onde ninguém vê, bb Onde nem água chega Não to falando de capital ou de interior desenvolvido :)',Positivo
'@arthur_pessoa kkkkkkkkkkkkkkkkkkkk é coisa de lolzeiro :p',Positivo
'@Andrewiludido pq eu preciso : )',Positivo
'gosto de quando eu tenho o maior trabalho no photoshop e nao consigo salvar em pdf :D PIKA NMRL',Positivo
'@a_john E eu! Temos de combinar, mas lá não dms senão fica tudo ciumento :)',Positivo
'Todos os 3 biomas serão atualizados ao longo do tempo! :-) https://t.co/IsFN93FFV6',Positivo
'Obrigada fifa por pores os meus amigos a jogar todo o dia e a não querer parar :)',Positivo
'@ismarochalima Olá, Ismael. Vem na DM que eu tento te ajudar por aqui! :) https://t.co/5yUsfK64x1',Positivo
'ah :/ vou tentar baixar no mega entao obg :) https://t.co/oQ7SkRnIX3',Positivo
'Gostei mucho pessoa baixinha :) lyyy https://t.co/5X5g6Wuzaz',Positivo
'@rmpalhares @erica__andrade Nao achas que és só um bocadinho para o estúpido a pensar que isso é fixe? Tipo... :)',Positivo
'@Italo86781139 Heey, Italo. Posso te ajudar? :)',Positivo
'@beatrizm680 @ktkwallz VAMOS TODAS VOTAR NELA ! :) BOAAAAA SOOOOORRTEEE https://t.co/CA3ETj4Xmo',Positivo
'@robertoafb39 Obrigada :))',Positivo
'para de se pagar de bebada nas redes sociais bb,tá feio :)) — Antes de querer falar algo aprende a usar a vírgula bb https://t.co/xqnoTHPPTi',Positivo
'@CRUZEIROteca Isso é bom. Espero que tentem :)',Positivo
'a prova cabal de que a Google não é diferente de qualquer empresa capitalista. :D https://t.co/HlMSof8JY6',Positivo
'@_purita_ @a_john Tenho estado de dieta, não vou exagerar agora :)',Positivo
'@lipegvbhbrazil Ótimo! :) Estamos por aqui caso precise de algo.',Positivo
'@alvesmarquim Sim, não conseguimos aprovar todos os pedidos, mas pode ser que isso mude nesse prazo. Se quiser entender mais, é só acessar https://t.co/YkM7XLyHVF. :)',Positivo
'@maymortari Poxa, não! :( O evento foi ontem, peguei o bus das 7am hoje... Mas eu tô dando uma oficina lá no Sesc; terça que vem tem outro encontro! :D',Positivo
'Gostei :)) https://t.co/GFvzkd3vYr',Positivo
'@GrayMan80533342 Fala ve :)',Positivo
'é que nem pobre defendendo privatização de tudo. o cara não pode pagar por um plano de saúde, mas hey, quer a extinção do SUS. peguei um Uber esses dias com esse discurso: o cara tava desempregado, não tinha plano de saúde, mas era a favor de privatizar a saúde. :)',Positivo
'@vivimariano81 como sou gêmeo, o pessoal fazia questão de dar pra mim e pro meu irmão... ate quando adolescentes chamavam a gente.. :)',Positivo
'@VitorHBatista @heitorjcampos @delucca Diz ai pra gente :D',Positivo
'@a_john Era :) temos de nos coordenar melhor',Positivo
'@TrollVaderBR @kyobr Pára com isso :) Se tá com saúde, o resto não importa. o/',Positivo
'@FilipeGTX @AnaBranquinho14 preparem-se para amanhã :)',Positivo
'@MonjaAlly @Camila_Cabello Que lindoo monja Felicidades :) #MPN #CamilaCabello @Camila_Cabello',Positivo
'@andrefrateschi e a sua novela meu anjo? Ainda espero... :)',Positivo
'@Rui_Castro Bandido :) Diverte-te!',Positivo
'@lamoreira2002 esquece :)',Positivo
'Hey @LubaTV Como proceder sabendo que o Ed vai fazer 2 shows em Lisboa e eu não vou a nenhum sendo que é um sonho meu? :))',Positivo
'Esse vídeo foi feito especialmente para as pessoas que querem ser maiores que as outras!!! que tapa universo?! :D https://t.co/hY75b3087P',Positivo
'vocês não sabem mas estou OFICIALMENTE a 6 meses para tirar a carta de mota. Eu não podia estar mais feliz :)',Positivo
'@Munhada7 @SpiderAnderson Meu vice seria o encosto que anda comigo há 24 anos :D',Positivo
'Ninguém me tira era felicidade :)',Positivo
'Finalizei meu cabelo de um jeito diferente hoje, mais rápido e fácil. To até gostando do resultado depois de seco. :)',Positivo
'@sanjaneausten Mudança de planos: o resultado sairá amanhã! Boa sorte! :)',Positivo
'@lesbocinefilia Eu entendi! :)',Positivo
'ainda agora começou o ano e já ando toda stressada, resultado disso: borbulhas :) :(',Positivo
'@TUCO_SP @Josericardopon7 Perfeito o seu pensamento :D.',Positivo
'@padmiranda96 Toda vez que você precisar de ajuda, pode nos chamar por inbox ou DM, nós também fazemos atendimento aos alunos. :D',Positivo
'Atividade gratuita no âmbito do projeto Ciência Viva, Por este Rio Acima: Património Natural e Água (Fundo Ambiental). Inscreva-se! :) https://t.co/pYYWagdka2',Positivo
'@parmaree Mais uma vez pra ser lembrado como salão de festas para os outros :p',Positivo
'@ctevmeb reviver o momento da 4a no sábado :)',Positivo
'@Zingapoin só é pena n dar pa fazer uma sardinhada. :)',Positivo
'Boa tarde anjo? Dormiu bem? Descansou, já se alimentou? ^^ — Bom tarde :) Sim sim e você? https://t.co/HscDxVc1VT',Positivo
'Mas pelo menos meu feijão e meu carreteiro ficaram ótimos :)',Positivo
'@coldpiizzaa Hmm oki :) Vou ver se levo people também',Positivo
'@ddotalexis Ahhh :) Ao mesmo tempo tens miminhos',Positivo
'Um cão :)) https://t.co/ATWo1kNV2F',Positivo
'@whosthatexid aaaa tudo bem :)',Positivo
'@marcelo17ant Pura das verdades :)',Positivo
'AQUI É CORINTHIANSSSS!!! RUMO AO TETRAA! :)',Positivo
