@relation sentimentos

@attribute text string
@attribute sentimento {Negativo,Neutro,Positivo}

@data
'@nFleeur Naisuuu Agora vc precisa descansar molier! :)',Positivo
'Fingir que não me afeta :)',Positivo
'@DALSlN aceitei lá :D',Positivo
'Brasileiro merece um troféu de ignorância :)',Positivo
'Me indique aqui uma música :)',Positivo
'a unica coisa radical q eu faço qnd mainha n ta em casa eh beber suco/refri na caneca pq ela odeia q eu faço isso :P',Positivo
'@sweet_lady_jane Oie! Que ótimo saber que você gostou. A gente acredita muito nessa causa. Você tem o hábito de ler para uma criança? :)',Positivo
'E eu não posso sair de casa para assistir :) https://t.co/RMbDVkhFRr',Positivo
'NÃO FAÇO MAIS QUESTÃO :)',Positivo
'o primeiro a mandar a skin ganha 1 thumb :p',Positivo
'Amo o twitter pq posso desabafar e além de eu ser flop e ninguém me aguentar reclamando, minha família não ta aqui pra ver o quão eu quero morrer e os planos que eu tenho pra me matar :)',Positivo
'Média? Isso choro eu em 1 mês :) https://t.co/s07JdQqT4A',Positivo
'É da VIDA mesmo :) seguindo S2',Positivo
'oi gente hoje é meu aniversário :)',Positivo
'@animal_slb @EPlurCorruptum @xiquinhorabeta @HugoGil07 @boloposte Nem mais :)',Positivo
'@zepaulo2018 @Henrique0001101 @Th3Heartless_ @GigglyGiu @Luciazia @LukeMacducci @Haddad_Fernando Na verdade é em todos os lugares do mundo mesmo, menos na cabeça de gente como você :)',Positivo
'@themxre minha melhor virtude, bby. :D',Positivo
'@caterpillarrai @MassimoCirri @RaiRadio2 @RegataBarcolana ...e con @Lauratroja naturalmente :)))',Positivo
'Hmm vou torrar a Internet ouvindo música no Spotify :P',Positivo
'@ClarapsilvaM Lacoste é melhor? 😂😂😂😂 Eu disse que não dava 100€ pelo polo da Fred Perry, mas preço/qualidade, no mercado não há melhor :)',Positivo
'@SandwormPT eheheheheheh! Fazes bem senão eu esqueço-me. Já estou a pensar noutro quando acabar este, vamos ver o que sai :-)))',Positivo
'@WorksHype :D tenho chance ae ? kkkk https://t.co/jJAjIxxynG',Positivo
'@emmarobertspt @FOX_PT Eu sei! Mas muito obrigada na mesma :)',Positivo
'mas não roubou ninguém :) https://t.co/5C2wcqgRWr',Positivo
'@AnaaCaroliny vem aqui pra casa :)',Positivo
'Uma cliente da minha madrinha disse que eu tinha um rabo redondinho daqueles que ela gosta de apalpar :-)',Positivo
'É pq ela baba no Bozão hahahahah :P https://t.co/vi98J3rZKI',Positivo
'ficar sentado na sua casinha e encher os stories de discurso de ódio não resolve nada viu mores :D',Positivo
'@CanAnlll :) 1000 paragraf',Positivo
'@queirozthiagost nn esqueceu de 1 naum? :p https://t.co/ayfFIxb1b1',Positivo
'@giosanfilippo @gduvivier @rogerwaters Eu sei, não to criticando não, só trazendo mais informações úteis. Até por que a visão dos EUA sobre o comunismo continua errada :)',Positivo
'Se vos irrita pessoas andarem devagar a vossa frente, imagem pessoas conduzir a 20 numa zona onde podem andar a 80 :)',Positivo
'@aline_mermaid Esses óculos são puro estilo mesmo, hahah! :)',Positivo
'Oi, Lívia. Você transmite uma luz tão boa. Acredito que o universo fez com que eu pudesse saber que existe alguém parecido com... — Aaaa :))) fico muito feliz em ler essas coisas, eu realmente me esforço muito pra emanar uma ener... https://t.co/h0ylWIJtX4',Positivo
'É hoje :)))',Positivo
'$5 cuidado com os falsos irmãos que estão sempre com você sempre se envolvendo nas mesmas balas existe muita maldade em silêncio :) #vou $$5',Positivo
'Uma delas não me ignorou :)',Positivo
'@geovannabarrett vem me fazer companhia enquanto eu faço trabalho :-)',Positivo
'@Joanaferreirajf Sábado :))',Positivo
'@folha Logico que não foi só a filha o pai tb ta apoiando :-)',Positivo
'Boo diia Povo :)',Positivo
'Lá porque sorrio não significa que seja feliz :))',Positivo
'independente de gostar apenas do que o fp produz, tenha respeito à pessoa que trabalha nos sons que viralizam no youtube, nas festinhas e nos bailes. hipocrisia master escutar um negro favelado e votar num candidato que tem aversão a minorias sociais :-)',Positivo
'What thing do you take most pride in? — chegar onde eu tô hoje :) https://t.co/If05gEkCqK',Positivo
'@SandwormPT hoje há taxímetro. E talvez poema lá no sítio das escritas :-)))',Positivo
'to feliz :))) primeira vez q eu falo isso com certeza desde o show do monsta',Positivo
'Como vai o namoro — Melhor impossível :))) https://t.co/LLlCUCtuf0',Positivo
'@simao647 Eu vou às 14 por causa do meu primo :)',Positivo
'@rizganxybn @muhiceter :)) mala te ava birayê ezîz. Ezê silavên te lê bikim.',Positivo
'@Senhor_A_ Obrigada, já sai! :)',Positivo
'12/10/2018 Chego a casa e dou com isto! :D',Positivo
'sei lá gostei :) https://t.co/n3dik38ztG',Positivo
'@_Joanaims_ quando quiseres :) eu posso sempre bitch',Positivo
'eu corro atrás pra caralho, mas quando eu canso é adeus e bye bye, não adianta mais! :)',Positivo
'comprei um cd novo :)))',Positivo
'caraca, feliz dia das crianças :)) https://t.co/uH72Rguwa4',Positivo
'@Dan_Schunck agora a tarde não sei mas de noite ba :) e vc?',Positivo
'Eunso!:) https://t.co/1jAEiWYFYE',Positivo
'Eu e a Yasmyn nascemos pra tomar no cu :)',Positivo
'dias das crianças :P https://t.co/HcZezo3v1H',Positivo
'Não gosto de PSDB mas Doria LACROU d+ nesse horario eleitoral :D',Positivo
'Votei nela :) https://t.co/dnYZ7cAJpx',Positivo
'eu cortei o cabeloooo e mds eu gostei mt :))',Positivo
'Tou bue feliz :)))',Positivo
'Guarde esta receita de peito de peru assado para um almoço em família :) https://t.co/8E2a6sUtA9 https://t.co/yFMJFpaDhh',Positivo
'Feliz dia das crianças para todos, incluindo as crianças que estão em eterna evolução num corpo adulto! :) https://t.co/uJudiXhbts',Positivo
'Segue a gente no instagram :D https://t.co/uI0M4qA8Yu',Positivo
'@jvreboucas O que eu acho engraçado nessa loucura de hoje vem gente me questionar o pq de ter a bandeira do Brasil na minha capa no Twitter... Ora bolas... Ela eata la desde q criei a conta :)',Positivo
'aqui era quadra se eu não tivesse esquecido da porra da hextec :) https://t.co/sse4T0KWSO',Positivo
'@CamiloRben Na boa, provavelmente só irei conseguir amanhã mas vamos lá ver :))',Positivo
'Amizades começadas neste dia: Fernanda Oliveira Há 3 anos hoje Monica Morgante Há 4 anos hoje Simone Flor Há 5 anos hoje Marcio Rubens Há 8 anos hoje Flavia Gontijo Albernaz Há 9 anos hoje :D',Positivo
'Fizemos barro e deu nisto genteeeee , podiaaa ser piorrr HAHAHAHAHAH :) https://t.co/y0w8G7vT3d',Positivo
'@RataoBorrachudo PS: A série é uma delicia! Estou adorando :D',Positivo
'tá todo mundo me tratando bem, as coisas estão dando certo, eu fiz um bom almoço e recebi elogio por isso, tô tão feliz :))))',Positivo
'@MelodiaCristina olha... se calhar é isso. :)',Positivo
'Como é bom estar indecisa entre 2 outfits :)',Positivo
'Há 3 coisas certas no Mundo: 1) a morte; 2) os impostos; 3) os posts do NGB sobre passivos em que 2+2 não é = 4 mas sim = ao que ele quiser. :)',Positivo
'@VanTammen @joanamarques140 não perdes nada :)',Positivo
'espumando de ódio por dentro :)',Positivo
'Daria graças à Deus que não casamos :) Só. https://t.co/ORBGlPrNBA',Positivo
'Boa noite. :) — Boa tarde :) https://t.co/HEUIdxNec0',Positivo
'E nunca sabem em quem :) https://t.co/ymDs2TKBGv',Positivo
'@TAEYEONPROTECT peço desculpas pela generalização amiga, eu só queria ressaltar a hipocrisia da moça ali, não foi intencional :)',Positivo
'@raffaelawh eu sei oh :)',Positivo
':) oq q é suposto responder?',Positivo
'@goku_zarolho @a_exandre @eiaugustes @selenamimos @blxckgirls Você não pode usar o SEU exemplo pra ditar o que acontece com a maioria :)',Positivo
'@FranciscoMarkes Já ninguém te liga! Nem os adeptos te respeitam! Já perceberam como é que ganharam o ano passado. Essa táctica não vai funcionar este ano. Nem dentro nem fora de campo :) Tic tac...',Positivo
'Quem venceria? [] Um velhote 8-bits e seu chicote [] Uma armadura 2 gerações adiante Façam suas apostas! :P https://t.co/GaAP1gzTSd',Positivo
'@twentyonepilots BARCELONA :)',Positivo
'A busca de Deus é a busca da alegria. O encontro com Deus é a própria alegria. Bom dia! : )',Positivo
'@felipevinha VAMO! Depois da BGS, beleza? Daí já vou reservar sala! @heyyjow e @joga_dan de acordo?? :D',Positivo
'@elenalandau @anartam O Bolsonaro é libertário nos costumes. : )',Positivo
'@_c0elh0 Vens fazer cmg no mesmo dia que eu for furar as orelhas :)',Positivo
'Cola que é sucesso :) https://t.co/3n18HVwPOX',Positivo
'@THE_MQS @PdpSmurfa :) segui ae',Positivo
' fuzilar esse povo todo  esse é o cidadão de bem falando sobre o pessoal de esquerda :)',Positivo
'Acelerei ele até o local que comprei o chopp e ele me pagou outro :)',Positivo
'minha internet so funciona o whats e eu n falo com ngm :) show',Positivo
'Lembrando que quase bati no maluco ontem pq chutou meu colo de chopp :))',Positivo
'ep 7 da temporada 19 dos simpsons tem uma referência ao videoclip da Here It Goes Again dos OK Go :)))',Positivo
'gente na boa esquece ciro gomes. já foi, ja era enquanto ces ficam lamentando em rede social e falando  ciro 2022  corremos risco de nem ter eleições em 2022 foquem no atual candidato q ainda pode ser votado, que está no segundo turno: #Haddad13 :)',Positivo
'No final das contas minha irmã passou lá pegar. Realmente nada me fazia grande falta, menos o potinho de vidro tamanho perfeito pra beck dechavado que eu fiquei bem feliz em recuperar :)',Positivo
'@carolbalza Sim, dê mesmo! :-)',Positivo
'αmigo; eu to αqui prα ti pedir desculpαs em ti dαr os pαrαbéns αtrαsαdo ;x ‘αliαs como dizem, o que vαle é α intenção ’ mαis tomαrα que você tenhα; • muitα sαude’ • muito dinheiro no bolso’ • muitαs nαmorαdαs ‘ hoho (6)’ • muitα sorte em suα vidα :) αmovocêcαrã ♥ @J95PJ',Positivo
'não devem ter casacos :)',Positivo
'Não sou boa com textinhos. Mas mesmo assim, tinha que vir aqui parabenizar esse neném. Feliz aniversário anjinho! Você merece o mundo.. :) ❤ @BTS_twt #HAPPYJIMINDAY https://t.co/AyYjRDv8aM',Positivo
'@Archarom @Archarom Caso seja preciso javardar ja sabes tens a malta da #majornartp pra te ajudar :)',Positivo
'@bangtangase pq depois se pode ser agora :)',Positivo
'@Cavallo_Leoni as pessoas complicam, sempre :P',Positivo
'@FarBRS Eu tbm n :)',Positivo
'@rehabasogul quantum 101 :p',Positivo
'FAZENDO A OC DA @baaabysz_ e to achando esse desein muito ITI MALIA MEU DEUS DU CÉU :) https://t.co/DUPLxxjpyb',Positivo
'O inferno de terminar um relacionamento depois de muito tempo é que tem umas coisas que tinham uso compartilhado, aí você quer usar algo e tá com o ex :)',Positivo
'@jaque_camposs vantagens de ser mulher HUSUHSHUSUH :p',Positivo
'Mais um feriado sozinha :)',Positivo
'@AlphaPHK Se é pra ter coisas assim, aceitamos Qualidade acima de tempo :D https://t.co/5Pt1NM3DsJ',Positivo
'Acc avail ? DM aja biar fastresp :)',Positivo
'E o ganhador foi do desafio do Twitter desta vez foi o @Cleiton67721921 https://t.co/h4qnfpo96D Por favor, entre em contato conosco via mp para que possamos adicionar o seu prêmio! #parabéns! :D',Positivo
'Vai tudo sair hoje e eu vou ficar em casa :))',Positivo
'@GeorgiaLuz acabei nem indo por: preguiça. Mas me disseram que a pink esmalteria, no Mac Center, tá funcionando :)',Positivo
'@cabellosimply prontinho. :)',Positivo
'@backerydaids eu não sei ainda pfv não me dê spoiler, grata :)',Positivo
'@Lenandlar Google? Netscape Navigator! :-)',Positivo
'Eu avisei :) https://t.co/v9ZPLcQ1Lz',Positivo
'@miguel_flf @jloureiro_13 Falamos disso na feira das lambarices... :P',Positivo
'Daqui a 1 semana vou meter o aparelho de cima :)',Positivo
'#EuQMandoTwitter hey,vocês poderiam tocar time of dying :p',Positivo
'feliz dia das crianças :) https://t.co/Tkx0bkleLb',Positivo
'@MarcelaCaarvalh Ah tá, obrigada! :))',Positivo
'Sozinha até às 18:45 :))',Positivo
'@AguiarClaudina Fala com a gerência :)',Positivo
'A minha stora de historia odeia me :)',Positivo
'inclusive, os nomes que eu uso aqui são de teste, tá? ahdjshsj eu ainda tô testando um nome que seja neutro e que me deixe confortável :)',Positivo
'Leiam o Vinncent :) https://t.co/q9FmdfLfyJ',Positivo
'Resistiu!:) https://t.co/pMAAIK5u1X',Positivo
'Só pq eu queria muito sol pra piscina amanhã, ta ai o sol hoje E se tiver sol amanhã, fodaci pq to naqueles dias e né :D',Positivo
'Vamos a Valhalla Festival amigos :) https://t.co/HZ6mZjnaWi',Positivo
'@guigui_x_ no meu tinha um traveco :)',Positivo
'Jon Foreman salva o dia mesmo! :P',Positivo
'@aviviu Tá bonito :)',Positivo
'@alexyaqueiroz tu ainda desenhas camisas? :D',Positivo
'Seu carinho por mim é tão bom, que meu coração aquece... Espero que melhore de qualquer dor, e que mais saúde você tenha para levar sua alegria longe! Deus ainda vai te abençoar muito, e te dar vida longa :) 사랑해 내 사랑 💕💕💕 #HAPPYJIMINDAY #JiminOurSerendipityDay https://t.co/s6qqvSPU8q',Positivo
'Ainda bem que eu me considero uma criança :)',Positivo
'@ourjonginis eu fiquei 3 anos nessa de eu n emagreço se eu comer, agr q eu mudei minha cabeça eu emagreci 11kg em menos de 1 mes :)',Positivo
'@DaniloGentili @CdNLeon e aí leonzinho? :P',Positivo
'@ZeroBadass da o papo zerin! tu vai na bgs amanhã? Se vc for onde posso te encontrar pra tirar uma foto? :)',Positivo
'@VloopPlays Obrigado, está do Young eu já sabia :) mas obrigado',Positivo
'@carlos_kaaduu @OvelhaNegraLOL  kit gay  nem ao menos foi distribuído nas escolas, fora que nem o próprio nome era kit gay, e sim kit anti homofobia. ele foi proibido pela dilma em 2011, por reclamações de pais; ele nem falava sobre ideologia, quanto menos sexo, só ensinavam crianças a respeitarem o próximo :)',Positivo
'@BarbaraWailand obrigada :) mas vou é visitar uma amiga não vou me consultar por conta do joelho pq foi um machucado superficial então nem precisa',Positivo
'Quem ganhou o par de ingressos para o Abraxas Fest 2018 foi a @Inyxx! Parabéns! Já estou te escrevendo por e-mail, ok! :) https://t.co/Med5uHxvFR',Positivo
'Tamo no jogo :)))',Positivo
'@gustavodocil Hahauh, brincadeira Dócil! Deve ser do caramba ter essas memórias, parabéns por estar onde está e chegar onde chegou! : )',Positivo
'Ah é tão bom quando as pessoas retribuem a energia q vc coloca nelas :))',Positivo
'@JapaGirlOficial Que bom Ju! Sempre na torcida aqui! :D',Positivo
'@FabioMacSc Eu queria meo bem, porém estamos no capitalismo e preciso me sustentar :)',Positivo
'eita! @ritabatistacom tá no programa de @Haddad_Fernando já ganhamos :)😍😍😍😍',Positivo
'@JuliaBaptista4 Para o ano não há desculpas p faltares a uma festa q seja :)',Positivo
'@ayumichimmy falaram para nunca desistir dos seus sonhos e segue eles, por isso estou te seguindo kkkkkk :)',Positivo
'@kauannefelicio Sei não ein.... você e Ester Tigresa... é difícil saber qual das duas é a mais   Linda   :)',Positivo
'@immands Se quiser saber mais é só falar :)',Positivo
'Voltei! Eu não estava me sentindo muito bem quando eu desativei minha conta. O que eu perdi? :)',Positivo
'VIVA NOSSA MÃE APARECIDA! &lt;3 :) Quando o pescador João Alves retirou das águas do Rio Paraíba do Sul a imagem quebrada de Nossa Senhora Imaculada Conceição, em 1717, certamente não fazia ideia que aquele acontecimento transformaria a história do Brasil.… https://t.co/UFQOZOlSZv https://t.co/zoXWsnM1FR',Positivo
'@_dominices @deborista farei agora a tarde, mas vou tentar colocar o trailer dos filmes apontados :)',Positivo
'E ainda é corruputo sim, mas finge q não :) https://t.co/FdcXNm7yZX',Positivo
'@dio_lr @davisoeditando @FeLazzaris @artuca_ @vaitomarnobento @gabrielcosta101 @Haddad_Fernando Opa, nisso nosso tristeza é match! Pq é triste ver alguém que apoia um cara que já falou abertamente que apoia a ditadura (que tem + chances de voltar do que Brasil virar comunista, visto que o comunismo tem que vir de um socialismo perfeito) E eu leio muito sim, obrigada! :)',Positivo
'@kontravoig parabéns :p',Positivo
'Teve charge nova lá no meu Instagram ontem, já curtiu? :) https://t.co/jyhE44oe3n',Positivo
'lição: ter filho é legal demais :)',Positivo
'@MirinhaAmaro16 Eu quero ir :)',Positivo
'Malta fotográfica de Aveiro :) https://t.co/xt1zbdh30c',Positivo
'@VAGlNADENTADA mas dêxa as referencias e vai ver a serie, tas a levar spoiler á toa :p',Positivo
'@findrenata @asyamalves Mais uma treta pra coleção :) https://t.co/vYTdBZdpvj',Positivo
'RETIRO OQ EU DISSE/ PIQUEI MEU CELULAR EM 50 PEDAÇOS ESSA NOITE :) TO SEM CELLLLLL AMIGOSSSS ABRAÇO https://t.co/ciTQjwJsWd',Positivo
'*Days* 11 e 12 do inktuber :D corvo e lua https://t.co/TrEhuoRCbP',Positivo
'@ikriana Sense8 :)',Positivo
'@EzequiaSilveir Ainda tô esperando as propostas :D',Positivo
'É lindo ver o amor na fala de Bolsonaro quando fala de sua filha Laura. :) Quem é pai de menina sabe... #Bolsonaro17',Positivo
'@fc_t3ddyyyyy obrigado :)',Positivo
'tds os amigos q me ajudaram muito obg desarquivei minhas fotos vcs sao demais :)))))',Positivo
'Testando esse novo Remix a pedido da gravadora grega Maniana Records. Que SAX hein!! Vem vindo música finíssima! Aguardem!! Ouçam mais no meu story do Face ou no Insta. :) :) :) https://t.co/nnQIpXRgKB',Positivo
'Depois de alguns dias escrevendo esse artigo, finalmente ele ficou pronto para ser xingado na internet :) https://t.co/q95lBe83ym',Positivo
'Ide todos poh caralho :)',Positivo
'So sucesso :) https://t.co/i5LGVBRpRS',Positivo
'@EriDaLavigne Pois é. O discurso é o mesmo da sua legenda irônica :)',Positivo
'@ThaysVita Estranho, estou todo sorridente e nem sei o motivo, pq será né :D',Positivo
'@QuaseLucas obrigadinha lucca, se tivesse me conhecido há pelo menos um ano vc veria o peso dessa declaração na minha vida :p',Positivo
'@MirelliSoares @StayBrazil boa sorte :)',Positivo
'@simao__reis 1. tínhamos 3 anos omgg não me lembro 2. na creche tbm 3. num shei 4. 4/10? 5. tínhamos almofadas do Noddy iguais :)) 6. não me lembro de nenhum tbm 7. nada a dizer',Positivo
'@mundo_producoes Obrigada! :)',Positivo
'@BatataReal @YouTube 8° pessoa a da like :)',Positivo
'Sou muito burra, ahh :)',Positivo
'Parabéns 🎉 pra esse BB que a um ano vem me conquistando cada veis mais e mais com sua alegria,fofura e principalmente esse talento maravilhoso que vc tem. Que vc tenha um dia maravilhoso e consiga melhorar logo das dore ! Eu AMO VOCÊ meu jimin ❤:) #HAPPYJIMINDAY https://t.co/L4Gi51kbbm',Positivo
'Meu cc só não tá mais sumido que eu, porém pergunta aí :) https://t.co/wU2t2tF3v1',Positivo
'Façam suas prgnts :p https://t.co/LisvCIiJ6Q',Positivo
'@rycky_sanctur Reação + análise! Tô editando, acho que tá ficando bonito! Sai mais tarde :D',Positivo
'@EmsSilva5h4ever Cartão e boleto, apenas virtual amores! :)',Positivo
'@RaonyPhillips Faço :)',Positivo
'eae @BTS_twt vamos lá cade as fts :)',Positivo
'Eu to pagando a minha formatura sozinho e hj o meu pai apareceu com um computador de desktop sendo que tem 2 notebooks em cada. Tô bem feliz :)',Positivo
'Minha mãe se formou nesse curso com louvor! :) https://t.co/DV9ZABlMRe',Positivo
'@PedroLobato @evelling Valeu gente... Fico até sem graça (e sei q tô atrasado). Mas vendo vcs postarem suas artes motivados Tb tem aquecido o meu coração :) https://t.co/JDv5DTlZLL',Positivo
'Gravei esse podcast 1h depois de ter extraído um dente e estar com 3 pontos na boca, quase não conseguia falar. MAS TAVA ALI NA ATIVIDADE! Consegui gravar bem :D hahahaiuh https://t.co/haipdWyqxq',Positivo
'Aproveite o feriado e venha prestigiar esses espetáculos! Esperamos por você! :D #381Anos #Ubatuba #CadaDiaMelhor https://t.co/W8OOP4P2LE',Positivo
'Tive a dormir até agr :)) soube mm bem',Positivo
'Adormeci de lentes agora pq não tinha sítio onde as meter se tirasse e agora sinto-as coladas :)',Positivo
'@sabrina_rosav Eu não :)',Positivo
'@J_Villan de nada........ :-) https://t.co/FZSeYUzaud',Positivo
'Felicidade é que volto trabalhar só segunda.. :)',Positivo
'Testando esse novo Remix a pedido da gravadora grega Maniana Records. Que SAX hein!! Vem vindo música finíssima! Aguardem!! Ouçam mais no meu stories do Face ou no Insta. :) :) :) https://t.co/LKgt3ZBU0B',Positivo
'@_pat3icia_ @FOX_PT A FOX Portugal começou a transmitir a nova temporada de AHS na segunda-feira passada :)',Positivo
'@PantsofMagic @amkidd @BreeziFoxie No problem bro, no problem :D',Positivo
'@lothcarv @rambrosifilho Assim vc deixa ele tímido :P https://t.co/7rXK2ThstN',Positivo
'Obrigada anjos, obrigada por nunca desistirem dos seus sonhos, obrigada por formarem o UNI.T. obrigada NC.A, Yebin, Woohee, Suji, ZN, yoonjo, Hyunjoo, Jiwon, Euijin ♥️ esse não é um fim, mas um novo início que se Deus quiser será ainda mais bonito :) #Thank_You_Unit',Positivo
